forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἀποκριθεὶς,611,V-APP-NMS,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Singular,tendo respondido,tendo respondido,passiva_a_confirmar,revisar,"'V-APP-NMS' e passiva, porem a passiva nao esta explicita em 'tendo respondido'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
γενέσθαι,1096,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,acontecer,"vir a ser, tornar-se, acontecer",media_passiva_ambigua,revisar,'V-PNM/P' e media ou passiva e 'pt' e infinitivo ativo: 'acontecer'.,"Decidir pelo contexto entre leitura media/reflexiva, passiva ou ativa idiomatica; nao corrigir automaticamente."
δοθήσεται,1325,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,será dado,ele(a) será dado,passiva_a_confirmar,revisar,"'V-FIP-3S' e passiva, porem a passiva nao esta explicita em 'será dado'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
πορευθέντες,4198,V-APP-NMP,Verbo - Aoristo Particípio Passiva - Nominativo Masculino Plural,indo,"tendo ido, tendo movido, tendo partido",passiva_a_confirmar,revisar,"'V-APP-NMP' e passiva, porem a passiva nao esta explicita em 'indo'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
ἐφοβήθησαν,5399,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,temeram,"eles(as) temeram, ficaram alarmados",passiva_a_confirmar,revisar,"'V-AIP-3P' e passiva, porem a passiva nao esta explicita em 'temeram'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
ἀφεθήσεταί,863,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,será deixado,"ele(a) será deixado, será perdoado, será cancelado, será permitido, será despedido (divorciar)",passiva_a_confirmar,revisar,"'V-FIP-3S' e passiva, porem a passiva nao esta explicita em 'será deixado'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
σωθήσεται,4982,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,será salvo,ele(a) será salvo,passiva_a_confirmar,revisar,"'V-FIP-3S' e passiva, porem a passiva nao esta explicita em 'será salvo'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
φοβεῖσθε,5399,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,temais,que vós temais,passiva_a_confirmar,revisar,"'V-ASP-2P' e passiva, porem a passiva nao esta explicita em 'temais'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
κληθήσεταί,2564,V-FIP-3S,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Singular,será chamado,"ele(a) será chamado, será nomeado (dar nome)",passiva_a_confirmar,revisar,"'V-FIP-3S' e passiva, porem a passiva nao esta explicita em 'será chamado'.","Confirmar se a glossa pretende particpio isolado, adjetivo verbal ou construao passiva completa."
ἔρχεσθαι,2064,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,vir,"vir, ir",media_passiva_ambigua,revisar,'V-PNM/P' e media ou passiva e 'pt' e infinitivo ativo: 'vir'.,"Decidir pelo contexto entre leitura media/reflexiva, passiva ou ativa idiomatica; nao corrigir automaticamente."
